username,matched_patterns
username#00278,disorders
username#00279,disorders
username#00280,nationalities
username#00281,disorders
username#00282,nationalities
username#00283,"disorders, nationalities"
username#00284,nationalities
username#00285,nationalities
username#00286,"disorders, nationalities"
username#00287,nationalities
username#00288,disorders
username#00289,disorders
username#00290,"disorders, nationalities"
username#00291,nationalities
username#00292,"disorders, nationalities"
username#00293,"disorders, nationalities"
username#00294,"disorders, nationalities"
username#00295,"disorders, nationalities"
username#00296,nationalities
username#00297,nationalities
username#00298,nationalities
username#00299,"disorders, nationalities"
username#00300,"disorders, nationalities"
username#00301,"disorders, nationalities"
username#00302,disorders
username#00303,disorders
username#00304,nationalities
username#00305,nationalities
username#00306,disorders
username#00307,nationalities
username#00308,nationalities
username#00309,nationalities
username#00310,"disorders, nationalities"
username#00311,"disorders, nationalities"
username#00312,nationalities
username#00313,nationalities
username#00314,nationalities
username#00315,nationalities
username#00316,nationalities
username#00317,disorders
username#00318,"disorders, nationalities"
username#00319,"disorders, nationalities"
username#00320,disorders
username#00321,"disorders, nationalities"
username#00322,nationalities
username#00323,nationalities
username#00324,disorders
username#00325,disorders
username#00326,disorders
username#00327,nationalities
username#00328,nationalities
username#00329,disorders
username#00330,nationalities
username#00331,"disorders, nationalities"
username#00332,disorders
username#00333,nationalities
username#00334,"disorders, nationalities"
username#00335,"disorders, nationalities"
username#00336,disorders
username#00337,nationalities
username#00338,nationalities
username#00339,disorders
username#00340,nationalities
username#00341,nationalities
username#00342,nationalities
username#00343,disorders
username#00344,disorders
username#00345,disorders
username#00346,"disorders, nationalities"
username#00347,nationalities
username#00348,nationalities
username#00349,nationalities
username#00350,disorders
username#00351,"disorders, nationalities"
username#00352,nationalities
username#00353,disorders
username#00354,nationalities
username#00355,nationalities
username#00356,nationalities
username#00357,nationalities
username#00358,"disorders, nationalities"
username#00359,"disorders, nationalities"
username#00360,"disorders, nationalities"
username#00361,nationalities
username#00362,nationalities
username#00363,disorders
username#00364,disorders
username#00365,"disorders, nationalities"
username#00366,nationalities
username#00367,"disorders, nationalities"
username#00368,"disorders, nationalities"
username#00369,nationalities
username#00370,"disorders, nationalities"
username#00371,disorders
username#00372,disorders
username#00373,"disorders, nationalities"
username#00374,disorders
username#00375,"disorders, nationalities"
username#00376,disorders
username#00377,nationalities
username#00378,disorders
username#00379,disorders
username#00380,nationalities
username#00381,nationalities
username#00382,nationalities
username#00383,nationalities
username#00384,nationalities
username#00385,"disorders, nationalities"
username#00386,nationalities
username#00387,"disorders, nationalities"
username#00388,nationalities
username#00389,"disorders, nationalities"
